"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-06","2005-04-26",13032,"MAIPU Nº 2","Mendoza","Nacional","2005","","FOURGON COURT TYPE 6","07","CITROEN","19","BERLINGO FURGON 1.9D PACK","1","Privado","Física","LUZURIAGA","MENDOZA","Masculino","1961","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-02","2006-01-31",1064,"MORENO Nº 1","Buenos Aires","Nacional","2006","","FAMILIAR","37","RENAULT","KJ","KANGOO RL EXPRESS DIE 1PCL","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-06","1998-09-22",1069,"OLIVOS Nº 01","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","53","CORSA 4 PTAS GLS 1.6 MPFI","1","Privado","Física","VICENTE LOPEZ","BUENOS AIRES","No identificado","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-09","1994-06-16",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","1994","","BERLINA 5PTAS","37","RENAULT","90","RENAULT 19 RN BIC.","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-23","2000-08-02",4075,"CORDOBA Nº 22","Córdoba","Nacional","2000","","RURAL 3 PTAS","34","PEUGEOT","AG","PARTNER BRKD","1","Privado","Física","CORDOBA","CORDOBA","Masculino","2000","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-30","1998-07-20",1004,"AVELLANEDA Nº 1","Buenos Aires","Nacional","1998","","UNIDAD TRACTORA","51","SCANIA","83","P 94 GA 4X2 NZ 260","1","Privado","Física","INDEPENDENCIA","BUENOS AIRES","Masculino","1951","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-09","2000-02-21",1122,"LOMAS DE ZAMORA Nº 2","Buenos Aires","Nacional","2000","","5 PTAS","08","CHEVROLET","79","CORSA WIND 1.6 MPFI 5P","1","Privado","Física","LLAVALLOL","BUENOS AIRES","Femenino","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-01","1998-07-20",1004,"AVELLANEDA Nº 1","Buenos Aires","Nacional","1998","","UNIDAD TRACTORA","51","SCANIA","83","P 94 GA 4X2 NZ 260","1","Privado","Física","WILDE","BUENOS AIRES","No identificado","1990","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-13","2010-07-29",5015,"SAN COSME","Corrientes","Nacional","2010","","FURGON VIDRIADO CON","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Jurídica","SAN COSME","CORRIENTES","No aplica","1996","No aplica",100,"18",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-10","2001-02-13",13015,"MENDOZA Nº 09","Mendoza","Nacional","2001","","SEDAN","08","CHEVROLET","52","CORSA 4 PUERTAS GL A/A Y D/P","1","Privado","Física","CAPILLA DEL ROSARIO","MENDOZA","Femenino","1984","ARGENTINA",50,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-07","1984-07-06",1107,"LANUS Nº 2","Buenos Aires","Nacional","1984","","COUPE 2 PUERTAS","19","FORD","22","TAUNUS GT VERSION SP","1","Privado","Física","LANUS","BUENOS AIRES","No identificado","1955","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-23","2011-03-18",1196,"LA PLATA Nº 08","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","LISANDRO OLMOS","BUENOS AIRES","Femenino","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-22","2007-06-28",4053,"CORDOBA Nº 13","Córdoba","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","CORDOBA","CORDOBA","No identificado","1965","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-09","2000-10-09",16007,"SAN CARLOS DE BARILOCHE Nº 1","Río Negro","Nacional","2000","","RURAL 3 PTAS","34","PEUGEOT","AF","PARTNER BRKN","1","Privado","Física","SAN CARLOS DE BARILOCHE","RIO NEGRO","Masculino","1975","ARGENTINA",100,"62","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-27","1997-04-22",1123,"SAN MARTIN Nº 3","Buenos Aires","Nacional","1997","","AMBULANCIA","29","MERCEDES BENZ","90","SPRINTER 310 D / F3000","1","Privado","Jurídica","VILLA BALLESTER","BUENOS AIRES","No aplica","1999","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-22","1996-02-23",1144,"QUILMES Nº 3","Buenos Aires","Nacional","1996","","SEDAN 3 PUERTAS","53","VOLKSWAGEN","","GOL GLI","1","Privado","Física","QUILMES","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-02","1999-09-20",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL 1.7 DIESEL A","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-13","2005-01-13",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","2005","","FURGON VID.C/ASIENT.","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","VILLA DE MAYO","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-08","1988-10-13",4077,"CORDOBA Nº 23","Córdoba","Nacional","1988","","SEDAN 5 PUERTAS","37","RENAULT","42","RENAULT 11 GTL","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1993","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-28","1993-08-05",1118,"QUILMES Nº 2","Buenos Aires","Nacional","1993","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","BERNAL","BUENOS AIRES","Masculino","1944","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-24","1998-10-06",1001,"ADROGUE Nº 1","Buenos Aires","Nacional","1998","","S.WAGON","08","CHEVROLET","56","CORSA WAGON GLS 1.6 MPFI/1998","1","Privado","Física","BURZACO","BUENOS AIRES","Masculino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-06","1998-11-27",4082,"VILLA ALLENDE Nº 2","Córdoba","Nacional","1998","","S. WAGON","08","CHEVROLET","66","CORSA WAGON GLS 1.7 DIESE","1","Privado","Física","MENDIOLAZA","CORDOBA","Masculino","1981","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-22","1999-04-07",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Nacional","1999","","PICK UP 3550","29","MERCEDES BENZ","AB","SPRINTER310D/P3550","1","Privado","Jurídica","MONTE GRANDE","BUENOS AIRES","No aplica","2020","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-10","1998-03-18",4082,"VILLA ALLENDE Nº 2","Córdoba","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","SALDAN","CORDOBA","Masculino","1974","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-15","1997-12-02",1146,"MERLO Nº 2","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS","37","RENAULT","CD","CLIO RL DIESEL 5PTAS. DA","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-09","1995-10-18",1135,"LANUS Nº 4","Buenos Aires","Nacional","1995","","BERLINA 5 PTAS.","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","LANUS ESTE","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-09-02","2001-01-04",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS WIND 1.6 MPFI","1","Privado","Física","LUIS GUILLON","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
