"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-30","1994-01-10",1134,"LANUS Nº 3","Buenos Aires","Importado","1994","","AUTOMOVIL FURGON 4 P","092","MERCEDES BENZ","006","MB 180 D","1","Privado","Física","MONTE CHINGOLO","BUENOS AIRES","Femenino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-27","1995-01-25",1244,"LA MATANZA Nº 11","Buenos Aires","Nacional","1995","","BERLINA 5 PUERTAS","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","RAMOS MEJIA","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-07","1992-08-28",1200,"SAN MARTIN Nº 6","Buenos Aires","Importado","1992","","CHASIS P/CAMION","","MERCEDES BENZ","","L-1614","1","Privado","Física","V.LYNCH *SAN MARTIN","BUENOS AIRES","No identificado","1939","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-12","1988-01-19",1177,"LOMAS DE ZAMORA Nº 6","Buenos Aires","Nacional","1988","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","TEMPERLEY","BUENOS AIRES","Masculino","1939","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-26","2000-05-19",1178,"LA MATANZA Nº 08","Buenos Aires","Protocolo 21","2000","","CHAS.C.CAB.C.CAJA.CERRADA","092","MERCEDES BENZ","172","710","1","Privado","Jurídica","LOMAS DEL MIRADOR","BUENOS AIRES","No aplica","2013","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-08","2010-07-06",1115,"MORON Nº 01","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","MORÓN","BUENOS AIRES","No identificado","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-05","2010-01-20",1269,"LA MATANZA Nº 12","Buenos Aires","Nacional","2010","","FURGON VIDRIADO C/AS","37","RENAULT","VW","KANGOO CONFORT 1.6 CD AA DA SVT1PL(600KG","1","Privado","Física","VIRREY DEL PINO-L.MATANZA","BUENOS AIRES","Femenino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-12","1992-07-20",1202,"MAR DEL PLATA Nº 09","Buenos Aires","Nacional","1992","","CHASIS C/CAB. P/CAMION","29","MERCEDES BENZ","50","L 1215/42","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-27","2007-05-02",1047,"LANUS Nº 1","Buenos Aires","Nacional","2007","","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","TF","KANGOO EXP GRAND CONFORT 1.9","1","Privado","Física","LANUS OESTE","BUENOS AIRES","Femenino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-27","1996-06-28",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Nacional","1996","","BERLINA","37","RENAULT","65","CLIO RT 5 PTAS.","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-28","2008-01-10",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON DPLC CONFORT","1","Privado","Física","BURZACO","BUENOS AIRES","Femenino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-04-30","1998-08-13",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
