"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-14","1999-11-19",1309,"MERLO Nº 5","Buenos Aires","Nacional","1999","","BERLINA 4 PTAS","37","RENAULT","EY","MEGANE RT TD TRI ABS F2","1","Privado","Física","CIUDAD DE PONTEVEDRA","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-21","2008-06-23",1209,"BERAZATEGUI Nº 3","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","HUDSON","BUENOS AIRES","Femenino","1984","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-30","1993-08-13",2036,"CAPITAL FEDERAL Nº 036","Ciudad Autónoma de Bs.As.","Nacional","1993","","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","34","RENAULT TRAFIC","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1982","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-19","2000-01-05",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","2000","","RURAL 3 PTAS","07","CITROEN","06","BERLINGO DPL","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-19","1999-09-01",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PTAS. WIND 1.6 LTS","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","No identificado","1961","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-06","1997-03-20",1269,"LA MATANZA Nº 12","Buenos Aires","Nacional","1997","","CH C/CAB.3550 C/CAJA","29","MERCEDES BENZ","95","SPRINTER 310D/CH3550","1","Privado","Física","CIUDAD EVITA-LA MATANZA","BUENOS AIRES","Masculino","1965","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-08","1995-07-26",1168,"MORON Nº 06","Buenos Aires","Nacional","1995","","BREAK 4 PUERTAS","37","RENAULT","AK","R21 RN BREAK M2100 DIESEL","1","Privado","Física","EL PALOMAR","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-19","2000-10-26",4005,"CORDOBA Nº 01","Córdoba","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS. WIND 1.6 MPFI","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1984","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-27","2008-07-01",2015,"CAPITAL FEDERAL Nº 015","Ciudad Autónoma de Bs.As.","Nacional","2008","","FURGON COURT TYPE 60","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1979","BOLIVIA",100,"02","BOL"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-07-27","1999-04-06",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","62","CORSA 4 PTAS GL 1.7 D","1","Privado","Física","9 DE ABRIL","BUENOS AIRES","Femenino","1996","ARGENTINA",100,"06","ARG"
