"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-29","1989-01-04",1157,"MORON Nº 05","Buenos Aires","Nacional","1989","","BERLINA 5 PTAS.","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","HAEDO","BUENOS AIRES","Femenino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-13","2006-01-11",1253,"LA PLATA Nº 13","Buenos Aires","Protocolo 21","2006","","CAMION C/CAJ VOLC/HIDROGRUA","136","VOLKSWAGEN","319","13.180","1","Privado","Jurídica","ABASTO","BUENOS AIRES","No aplica","2005","No aplica",100,"06",""
"COMUNICACIÓN DE RECUPERO","2021-12-13","2007-01-03",1168,"MORON Nº 06","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","EL PALOMAR","BUENOS AIRES","Femenino","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-15","2000-08-08",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2000","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-14","1997-01-07",1285,"ESTEBAN ECHEVERRIA Nº 4","Buenos Aires","Nacional","1997","","FURGON 3000","29","MERCEDES BENZ","90","SPRINTER310D/F3000","1","Privado","Física","SALSIPUEDES","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-29","1996-03-22",1135,"LANUS Nº 4","Buenos Aires","Nacional","1996","","FURGON VIDRIADO","37","RENAULT","37","RENAULT TRAFIC","1","Privado","Física","LANUS ESTE","BUENOS AIRES","No identificado","1952","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-20","2009-01-05",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","TAPIALES","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-29","2011-09-26",1232,"HURLINGHAM Nº 2 (EX. MORON Nº 10)","Buenos Aires","Nacional","2011","","FURGON VIDRIADO C/ASIENTOS","07","CITROEN","76","BERLINGO FURGON 1.6 HDI PLC","1","Privado","Física","HURLINGHAM","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-02","2007-03-20",1220,"AVELLANEDA Nº 6","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","V. DOMINICO","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-12-01","2005-04-01",1178,"LA MATANZA Nº 08","Buenos Aires","Nacional","2005","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Femenino","1967","PARAGUAY",100,"06","PRY"
