"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-09","1993-05-06",1239,"QUILMES Nº 8","Buenos Aires","Nacional","1993","","BERLINA 5 PTAS","37","RENAULT","20","11 TS","1","Privado","Física","QUILMES","BUENOS AIRES","No identificado","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-25","1999-08-26",1177,"LOMAS DE ZAMORA Nº 6","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 LTS","1","Privado","Física","TEMPERLEY","BUENOS AIRES","Masculino","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-18","1997-07-25",1175,"LANUS Nº 5","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS.","37","RENAULT","00","CLIO RT 5PTAS.AA.DA.","1","Privado","Física","LANUS ESTE","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-10","1998-08-27",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS.","1","Privado","Física","NUEVE DE ABRIL","BUENOS AIRES","No identificado","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-30","1997-11-21",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS.","37","RENAULT","BT","CLIO RN 3PTAS PACK","1","Privado","Física","LA TABLADA","BUENOS AIRES","Masculino","2001","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-07","2008-04-10",1062,"MERLO Nº 1","Buenos Aires","Nacional","2008","","FURGON VIDRIADO C/AS","37","RENAULT","TE","KANGOO EXP CONFORT 1.9 AA","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-08","2001-05-08",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL 3P","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-08","2010-03-11",1174,"LA MATANZA Nº 07","Buenos Aires","Protocolo 21","2010","","FURGONETA VIDRIADA","044","FIAT","591","FIORINO FIRE 1242 MPI 8V","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Femenino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-31","2000-07-11",1062,"MERLO Nº 1","Buenos Aires","Nacional","2000","","BERLINA 3 PTAS","37","RENAULT","EL","CLIO RL DIESEL 3 PTAS DA","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-03","2010-01-18",1211,"QUILMES Nº 6","Buenos Aires","Nacional","2010","","FURGON VID.C/ASIENTO","37","RENAULT","WA","KANGOO CONFORT 1.5 DCICDAADASVT1P(600KG)","1","Privado","Física","SAN FRANCISCO SOLANO","BUENOS AIRES","No identificado","1949","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-22","1992-01-09",1065,"MORON Nº 02","Buenos Aires","Nacional","1992","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","MORON - MORON","BUENOS AIRES","No identificado","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-07","2007-11-29",1074,"PILAR Nº 1","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","PILAR","BUENOS AIRES","No identificado","1991","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-29","2009-12-14",1164,"MAR DEL PLATA Nº 06","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON 1.9 D PLC CONFORT","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","No identificado","1961","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-22","2008-10-17",1205,"SAN FERNANDO Nº 3","Buenos Aires","Nacional","2008","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","VIRREYES","BUENOS AIRES","Masculino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-09","1995-03-03",1220,"AVELLANEDA Nº 6","Buenos Aires","Nacional","1995","","BERLINA 5 PTAS.","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","SARANDÍ","BUENOS AIRES","No identificado","1990","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-03","2000-03-24",1100,"TRES DE FEBRERO Nº 1","Buenos Aires","Nacional","2000","","BERLINA 5 PUERTAS","37","RENAULT","EZ","MEGANE RXE BIC ABS F2","1","Privado","Física","CASEROS","BUENOS AIRES","Femenino","1999","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-08","1971-05-17",1238,"TIGRE Nº 4","Buenos Aires","Nacional","","","TRANSP. DE CARGA","08","CHEVROLET","07","1960","1","Privado","Física","TIGRE","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-15","2000-11-10",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","2000","","BERLINA 5 PTAS","37","RENAULT","DU","CLIO RN 5 PTAS PACK AA DA","1","Privado","Física","VILLA MADERO","BUENOS AIRES","Femenino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-07","2011-08-26",1224,"MERLO Nº 3","Buenos Aires","Nacional","2011","","FURGON VIDRIADO C/ASIENTOS","07","CITROEN","77","BERLINGO FURGON 1.6 HDI FULL AM51","1","Privado","Física","SAN ANTONIO DE PADUA","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-16","1998-11-03",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","1998","","SEMIRREMOLQUE TANQUE","12","INDECAR","47","SR TQ TL 02 33","1","Privado","Jurídica","SARANDI","BUENOS AIRES","No aplica","2006","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-16","2008-07-02",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2008","","FURGON VIDRIADO C/ AS","37","RENAULT","UR","KANGOO CONFORT 1.5 DCI CD AA DA SVT 1P","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","No identificado","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-21","2000-11-03",1146,"MERLO Nº 2","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL-3P","1","Privado","Física","MERLO","BUENOS AIRES","No identificado","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-14","1994-11-10",1140,"SAN ISIDRO Nº 04","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN (BIC).","1","Privado","Física","SAN ISIDRO","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-28","2002-03-26",1232,"HURLINGHAM Nº 2 (EX. MORON Nº 10)","Buenos Aires","Protocolo 21","2002","","MINIBUS","044","FIAT","135","DUCATO 15 2.8 D","1","Privado","Física","HURLINGHAM","BUENOS AIRES","No identificado","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-16","2000-03-30",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2000","","3 PTAS","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL 3P","1","Privado","Física","LAFERRERE","BUENOS AIRES","Femenino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-03-02","2008-06-24",1135,"LANUS Nº 4","Buenos Aires","Nacional","2008","","FOURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","LANÚS ESTE","BUENOS AIRES","Femenino","1998","ARGENTINA",50,"06","ARG"
