"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-18","2007-12-14",13001,"MENDOZA Nº 01","Mendoza","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LUJAN DE CUYO","MENDOZA","Femenino","1981","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-17","2007-01-16",21056,"ROSARIO Nº 13","Santa Fe","Nacional","2007","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL.","1","Privado","Física","ROSARIO","SANTA FE","Femenino","1977","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-09","2000-11-17",13032,"MAIPU Nº 2","Mendoza","Importado","2000","","SEDAN 5 PUERTAS","136","VOLKSWAGEN","052","GOL 1.9 SD","1","Privado","Física","LUZURIAGA","MENDOZA","Masculino","1991","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-24","1987-01-12",2054,"CAPITAL FEDERAL Nº 054","Ciudad Autónoma de Bs.As.","Nacional","1987","","SIN ESPECIFICACION","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1962","No identificado",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-06","2009-03-19",2091,"CAPITAL FEDERAL Nº 091","Ciudad Autónoma de Bs.As.","Importado","2009","","FURGON TERMICO E.FRI","072","KIA","170","K-2700","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1965","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-18","2004-03-17",21068,"ROSARIO Nº 17","Santa Fe","Nacional","2004","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1987","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-17","1992-03-30",13030,"MENDOZA Nº 18","Mendoza","Nacional","1992","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","EL PLUMERILLO","MENDOZA","Femenino","1965","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-07","2012-06-26",21059,"ROSARIO Nº 16","Santa Fe","Protocolo 21","2012","","AMBULANCIA","112","RENAULT","730","MASTER PH3 DCI 120 L1H2 PKCNF","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1984","BRASIL",100,"82","BRA"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-19","1991-11-18",13010,"MENDOZA Nº 04","Mendoza","Importado","1991","","COUPE 2 P. KF/R8","","HONDA","","CRX ED937MR","1","Privado","Física","GODOY CRUZ","MENDOZA","Masculino","1987","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-02","2004-09-27",21029,"VILLA CONSTITUCION Nº 1","Santa Fe","Nacional","2004","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON 1.9 D PLC CONFORT","1","Privado","Física","VILLA CONSTITUCIÓN","SANTA FE","Masculino","1984","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-31","1989-12-12",2065,"CAPITAL FEDERAL Nº 065","Ciudad Autónoma de Bs.As.","Nacional","1989","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1958","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-31","1998-06-23",4078,"CORDOBA Nº 24","Córdoba","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","CORDOBA","CORDOBA","Masculino","2000","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-08-25","2008-03-14",2080,"CAPITAL FEDERAL Nº 080","Ciudad Autónoma de Bs.As.","Nacional","2008","","UTILITARIO","08","CHEVROLET","BR","CORSA CLASSIC 3P CARGO 1.6N","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1965","No aplica",100,"02",""
