"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-27","2000-08-02",1240,"JOSE C. PAZ Nº 1","Buenos Aires","Importado","2000","","FURGON VIDRIADO","044","FIAT","504","DUCATO 15 1.9D","1","Privado","Física","JOSE C.PAZ","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-13","2009-10-22",1261,"MARCOS PAZ","Buenos Aires","Nacional","2009","","RURAL 5 PTAS","53","VOLKSWAGEN","MD","SURAN SDI 90E","1","Privado","Física","MARCOS PAZ","BUENOS AIRES","Masculino","1947","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-13","2000-09-19",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-21","1999-07-05",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","1999","","S.WAGON","08","CHEVROLET","56","CORSA WAGON GLS 16V","1","Privado","Física","LA TABLADA-LA MATANZA","BUENOS AIRES","Femenino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-19","1997-05-13",1065,"MORON Nº 02","Buenos Aires","Importado","1997","","FURGON VIDRIADO","058","HYUNDAI","130","H 100 SUPER","1","Privado","Física","MORÓN","BUENOS AIRES","No identificado","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-07","2000-12-04",1185,"ADROGUE Nº 3","Buenos Aires","Nacional","2000","","BERLINA 4 PTAS.","37","RENAULT","EW","MEGANE RN TRI AA F2","1","Privado","Física","BURZACO","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-05","2007-03-01",1139,"SAN ISIDRO Nº 03","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","MARTINEZ","BUENOS AIRES","Masculino","1990","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-26","1999-01-15",1239,"QUILMES Nº 8","Buenos Aires","Nacional","1999","","TRANSPORTE DE CARGA","29","MERCEDES BENZ","95","SPRINTER 310D/CH3550","1","Privado","Física","S. FCO. SOLANO","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-27","2001-03-23",1272,"LA PLATA Nº 14","Buenos Aires","Nacional","2001","","FURGON VIDRIADO","34","PEUGEOT","07","PARFUD6PL","1","Privado","Física","MANUEL B. GONNET","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-10-12","1999-01-14",1218,"MORON Nº 04 (EX. MORON Nº 9)","Buenos Aires","Nacional","1999","","BERLINA 5 PUERTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","VILLA TESEI","BUENOS AIRES","Masculino","2000","PARAGUAY",100,"06","PRY"
