"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-18","1994-03-25",1118,"QUILMES Nº 2","Buenos Aires","Importado","1993","","RURAL","","PEUGEOT","","405 SRI BREAK","1","Privado","Física","BERNAL","BUENOS AIRES","Masculino","1953","ARGENTINA",65,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-01","1999-06-11",1225,"SAN MARTIN Nº 7","Buenos Aires","Nacional","1999","","RURAL 2 PUERTAS","07","CITROEN","02","BERLINGO 1.8 I","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-01","2000-10-24",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL - 3P","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1959","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-01","2007-07-16",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","CLAYPOLE","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-28","1998-07-31",21059,"ROSARIO Nº 16","Santa Fe","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS.","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1970","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-22","1997-06-02",1135,"LANUS Nº 4","Buenos Aires","Nacional","1997","","CAMION C/CAJA DESMONTABLE","67","IVECO","04","DC4910","1","Privado","Física","LANUS","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-08","2006-01-17",1176,"SAN ISIDRO Nº 05","Buenos Aires","Nacional","2006","","F0URGON COURT T600","07","CITROEN","19","BERLINGO FURGON 1.9D PACK","1","Privado","Física","SAN ISIDRO","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-28","2008-10-29",1196,"LA PLATA Nº 08","Buenos Aires","Nacional","2008","","FURGON VIDRIADO C/ASIENTOS","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LOS HORNOS","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-28","1997-10-30",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1997","","BERLINA 4 PTAS.","37","RENAULT","CH","MEGANE RXE ABCP ABS","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-06-18","1999-08-17",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","1999","","S. WAGON","08","CHEVROLET","66","CORSA WAGON 5 PTAS GLS 1.","1","Privado","Física","LOS POLVORINES/MALV.ARG","BUENOS AIRES","No identificado","1992","ARGENTINA",100,"06","ARG"
